"","location","time","execrlc"
"271","AUS",1977,1
"272","AUS",1978,1
"273","AUS",1979,1
"274","AUS",1980,1
"275","AUS",1981,1
"276","AUS",1982,1
"277","AUS",1983,1
"278","AUS",1984,3
"279","AUS",1985,3
"280","AUS",1986,3
"281","AUS",1987,3
"282","AUS",1988,3
"283","AUS",1989,3
"284","AUS",1990,3
"285","AUS",1991,3
"286","AUS",1992,3
"287","AUS",1993,3
"288","AUS",1994,3
"289","AUS",1995,3
"290","AUS",1996,3
"291","AUS",1997,1
"292","AUS",1998,1
"293","AUS",1999,1
"294","AUS",2000,1
"295","AUS",2001,1
"296","AUS",2002,1
"297","AUS",2003,1
"298","AUS",2004,1
"299","AUS",2005,1
"300","AUS",2006,1
"301","AUS",2007,1
"302","AUS",2008,3
"303","AUS",2009,3
"304","AUS",2010,3
"305","AUS",2011,3
"306","AUS",2012,3
"307","AUT",1975,3
"308","AUT",1976,3
"309","AUT",1977,3
"310","AUT",1978,3
"311","AUT",1979,3
"312","AUT",1980,3
"313","AUT",1981,3
"314","AUT",1982,3
"315","AUT",1983,3
"316","AUT",1984,3
"317","AUT",1985,3
"318","AUT",1986,3
"319","AUT",1987,3
"320","AUT",1988,3
"321","AUT",1989,3
"322","AUT",1990,3
"323","AUT",1991,3
"324","AUT",1992,3
"325","AUT",1993,3
"326","AUT",1994,3
"327","AUT",1995,3
"328","AUT",1996,3
"329","AUT",1997,3
"330","AUT",1998,3
"331","AUT",1999,3
"332","AUT",2000,1
"333","AUT",2001,1
"334","AUT",2002,1
"335","AUT",2003,1
"336","AUT",2004,1
"337","AUT",2005,1
"338","AUT",2006,1
"339","AUT",2007,3
"340","AUT",2008,3
"341","AUT",2009,3
"342","AUT",2010,3
"343","AUT",2011,3
"344","AUT",2012,3
"345","AZE",1975,NA
"346","AZE",1976,NA
"347","AZE",1977,NA
"348","AZE",1978,NA
"349","AZE",1979,NA
"350","AZE",1980,NA
"351","AZE",1981,NA
"352","AZE",1982,NA
"353","AZE",1983,NA
"354","AZE",1984,NA
"355","AZE",1985,NA
"356","AZE",1986,NA
"357","AZE",1987,NA
"358","AZE",1988,NA
"359","AZE",1989,NA
"360","AZE",1990,NA
"361","AZE",1991,NA
"362","AZE",1992,NA
"363","AZE",1993,0
"364","AZE",1994,0
"365","AZE",1995,0
"366","AZE",1996,0
"367","AZE",1997,0
"368","AZE",1998,0
"369","AZE",1999,0
"370","AZE",2000,0
"371","AZE",2001,0
"372","AZE",2002,0
"373","AZE",2003,0
"374","AZE",2004,0
"375","AZE",2005,0
"376","AZE",2006,0
"377","AZE",2007,0
"378","AZE",2008,0
"379","AZE",2009,0
"380","AZE",2010,0
"381","AZE",2011,0
"382","AZE",2012,0
"383","BDI",1975,0
"384","BDI",1976,0
"385","BDI",1977,0
"386","BDI",1978,0
"387","BDI",1979,0
"388","BDI",1980,0
"389","BDI",1981,0
"390","BDI",1982,0
"391","BDI",1983,0
"392","BDI",1984,0
"393","BDI",1985,0
"394","BDI",1986,0
"395","BDI",1987,0
"396","BDI",1988,0
"397","BDI",1989,0
"398","BDI",1990,0
"399","BDI",1991,0
"400","BDI",1992,0
"401","BDI",1993,0
"402","BDI",1994,0
"403","BDI",1995,0
"404","BDI",1996,0
"405","BDI",1997,0
"406","BDI",1998,0
"407","BDI",1999,0
"408","BDI",2000,0
"409","BDI",2001,0
"410","BDI",2002,0
"411","BDI",2003,0
"412","BDI",2004,0
"413","BDI",2005,0
"414","BDI",2006,0
"415","BDI",2007,0
"416","BDI",2008,0
"417","BDI",2009,0
"418","BDI",2010,0
"419","BDI",2011,0
"420","BDI",2012,0
"421","BEL",1975,1
"422","BEL",1976,1
"423","BEL",1977,1
"424","BEL",1978,1
"425","BEL",1979,1
"426","BEL",1980,1
"427","BEL",1981,1
"428","BEL",1982,1
"429","BEL",1983,1
"430","BEL",1984,1
"431","BEL",1985,1
"432","BEL",1986,1
"433","BEL",1987,1
"434","BEL",1988,1
"435","BEL",1989,1
"436","BEL",1990,1
"437","BEL",1991,1
"438","BEL",1992,1
"439","BEL",1993,1
"440","BEL",1994,1
"441","BEL",1995,1
"442","BEL",1996,1
"443","BEL",1997,1
"444","BEL",1998,1
"445","BEL",1999,1
"446","BEL",2000,1
"447","BEL",2001,1
"448","BEL",2002,1
"449","BEL",2003,1
"450","BEL",2004,1
"451","BEL",2005,1
"452","BEL",2006,1
"453","BEL",2007,1
"454","BEL",2008,1
"455","BEL",2009,1
"456","BEL",2010,1
"457","BEL",2011,1
"458","BEL",2012,3
"459","BEN",1975,NA
"460","BEN",1976,3
"461","BEN",1977,3
"462","BEN",1978,3
"463","BEN",1979,3
"464","BEN",1980,3
"465","BEN",1981,3
"466","BEN",1982,3
"467","BEN",1983,3
"468","BEN",1984,3
"469","BEN",1985,3
"470","BEN",1986,3
"471","BEN",1987,3
"472","BEN",1988,3
"473","BEN",1989,3
"474","BEN",1990,3
"475","BEN",1991,3
"476","BEN",1992,3
"477","BEN",1993,3
"478","BEN",1994,3
"479","BEN",1995,3
"480","BEN",1996,0
"481","BEN",1997,0
"482","BEN",1998,0
"483","BEN",1999,0
"484","BEN",2000,0
"485","BEN",2001,0
"486","BEN",2002,0
"487","BEN",2003,0
"488","BEN",2004,0
"489","BEN",2005,0
"490","BEN",2006,0
"491","BEN",2007,0
"492","BEN",2008,0
"493","BEN",2009,0
"494","BEN",2010,0
"495","BEN",2011,0
"496","BEN",2012,0
"497","BFA",1975,1
"498","BFA",1976,1
"499","BFA",1977,1
"500","BFA",1978,1
"501","BFA",1979,3
"502","BFA",1980,3
"503","BFA",1981,3
"504","BFA",1982,3
"505","BFA",1983,3
"506","BFA",1984,3
"507","BFA",1985,3
"508","BFA",1986,3
"509","BFA",1987,3
"510","BFA",1988,3
"511","BFA",1989,3
"512","BFA",1990,3
"513","BFA",1991,3
"514","BFA",1992,1
"515","BFA",1993,1
"516","BFA",1994,1
"517","BFA",1995,1
"518","BFA",1996,1
"519","BFA",1997,1
"520","BFA",1998,1
"521","BFA",1999,1
"522","BFA",2000,1
"523","BFA",2001,1
"524","BFA",2002,1
"525","BFA",2003,0
"526","BFA",2004,0
"527","BFA",2005,0
"528","BFA",2006,0
"529","BFA",2007,0
"530","BFA",2008,0
"531","BFA",2009,0
"532","BFA",2010,0
"533","BFA",2011,0
"534","BFA",2012,0
"535","BGD",1975,NA
"536","BGD",1976,0
"537","BGD",1977,0
"538","BGD",1978,0
"539","BGD",1979,0
"540","BGD",1980,0
"541","BGD",1981,0
"542","BGD",1982,0
"543","BGD",1983,1
"544","BGD",1984,1
"545","BGD",1985,1
"546","BGD",1986,1
"547","BGD",1987,0
"548","BGD",1988,0
"549","BGD",1989,0
"550","BGD",1990,0
"551","BGD",1991,3
"552","BGD",1992,0
"553","BGD",1993,0
"554","BGD",1994,0
"555","BGD",1995,0
"556","BGD",1996,0
"557","BGD",1997,0
"558","BGD",1998,0
"559","BGD",1999,0
"560","BGD",2000,0
"561","BGD",2001,0
"562","BGD",2002,0
"563","BGD",2003,0
"564","BGD",2004,0
"565","BGD",2005,0
"566","BGD",2006,0
"567","BGD",2007,NA
"568","BGD",2008,NA
"569","BGD",2009,0
"570","BGD",2010,0
"571","BGD",2011,0
"572","BGD",2012,0
"573","BGR",1975,3
"574","BGR",1976,3
"575","BGR",1977,3
"576","BGR",1978,3
"577","BGR",1979,3
"578","BGR",1980,3
"579","BGR",1981,3
"580","BGR",1982,3
"581","BGR",1983,3
"582","BGR",1984,3
"583","BGR",1985,3
"584","BGR",1986,3
"585","BGR",1987,3
"586","BGR",1988,3
"587","BGR",1989,3
"588","BGR",1990,3
"589","BGR",1991,0
"590","BGR",1992,0
"591","BGR",1993,0
"592","BGR",1994,0
"593","BGR",1995,0
"594","BGR",1996,0
"595","BGR",1997,1
"596","BGR",1998,1
"597","BGR",1999,1
"598","BGR",2000,1
"599","BGR",2001,1
"600","BGR",2002,0
"601","BGR",2003,0
"602","BGR",2004,0
"603","BGR",2005,0
"604","BGR",2006,0
"605","BGR",2007,0
"606","BGR",2008,0
"607","BGR",2009,0
"608","BGR",2010,1
"609","BGR",2011,1
"610","BGR",2012,1
"611","BHR",1975,0
"612","BHR",1976,0
"613","BHR",1977,0
"614","BHR",1978,0
"615","BHR",1979,0
"616","BHR",1980,0
"617","BHR",1981,0
"618","BHR",1982,0
"619","BHR",1983,0
"620","BHR",1984,0
"621","BHR",1985,0
"622","BHR",1986,0
"623","BHR",1987,0
"624","BHR",1988,0
"625","BHR",1989,0
"626","BHR",1990,0
"627","BHR",1991,0
"628","BHR",1992,0
"629","BHR",1993,0
"630","BHR",1994,0
"631","BHR",1995,0
"632","BHR",1996,0
"633","BHR",1997,0
"634","BHR",1998,0
"635","BHR",1999,0
"636","BHR",2000,0
"637","BHR",2001,0
"638","BHR",2002,0
"639","BHR",2003,0
"640","BHR",2004,0
"641","BHR",2005,0
"642","BHR",2006,0
"643","BHR",2007,0
"644","BHR",2008,0
"645","BHR",2009,0
"646","BHR",2010,0
"647","BHR",2011,0
"648","BHR",2012,0
"649","BHS",1975,2
"650","BHS",1976,2
"651","BHS",1977,2
"652","BHS",1978,2
"653","BHS",1979,2
"654","BHS",1980,2
"655","BHS",1981,2
"656","BHS",1982,2
"657","BHS",1983,2
"658","BHS",1984,2
"659","BHS",1985,2
"660","BHS",1986,2
"661","BHS",1987,2
"662","BHS",1988,2
"663","BHS",1989,2
"664","BHS",1990,2
"665","BHS",1991,2
"666","BHS",1992,2
"667","BHS",1993,1
"668","BHS",1994,1
"669","BHS",1995,1
"670","BHS",1996,1
"671","BHS",1997,1
"672","BHS",1998,1
"673","BHS",1999,1
"674","BHS",2000,1
"675","BHS",2001,1
"676","BHS",2002,1
"677","BHS",2003,2
"678","BHS",2004,2
"679","BHS",2005,2
"680","BHS",2006,2
"681","BHS",2007,2
"682","BHS",2008,1
"683","BHS",2009,1
"684","BHS",2010,1
"685","BHS",2011,1
"686","BHS",2012,1
"687","BIH",1975,NA
"688","BIH",1976,NA
"689","BIH",1977,NA
"690","BIH",1978,NA
"691","BIH",1979,NA
"692","BIH",1980,NA
"693","BIH",1981,NA
"694","BIH",1982,NA
"695","BIH",1983,NA
"696","BIH",1984,NA
"697","BIH",1985,NA
"698","BIH",1986,NA
"699","BIH",1987,NA
"700","BIH",1988,NA
"701","BIH",1989,NA
"702","BIH",1990,NA
"703","BIH",1991,NA
"704","BIH",1992,NA
"705","BIH",1993,NA
"706","BIH",1994,NA
"707","BIH",1995,0
"708","BIH",1996,0
"709","BIH",1997,0
"710","BIH",1998,0
"711","BIH",1999,0
"712","BIH",2000,0
"713","BIH",2001,0
"714","BIH",2002,0
"715","BIH",2003,0
"716","BIH",2004,0
"717","BIH",2005,0
"718","BIH",2006,0
"719","BIH",2007,0
"720","BIH",2008,0
"721","BIH",2009,0
"722","BIH",2010,0
"723","BIH",2011,0
"724","BIH",2012,0
"725","BLR",1975,NA
"726","BLR",1976,NA
"727","BLR",1977,NA
"728","BLR",1978,NA
"729","BLR",1979,NA
"730","BLR",1980,NA
"731","BLR",1981,NA
"732","BLR",1982,NA
"733","BLR",1983,NA
"734","BLR",1984,NA
"735","BLR",1985,NA
"736","BLR",1986,NA
"737","BLR",1987,NA
"738","BLR",1988,NA
"739","BLR",1989,NA
"740","BLR",1990,NA
"741","BLR",1991,NA
"742","BLR",1992,3
"743","BLR",1993,3
"744","BLR",1994,3
"745","BLR",1995,0
"746","BLR",1996,0
"747","BLR",1997,0
"748","BLR",1998,0
"749","BLR",1999,0
"750","BLR",2000,0
"751","BLR",2001,0
"752","BLR",2002,0
"753","BLR",2003,0
"754","BLR",2004,0
"755","BLR",2005,0
"756","BLR",2006,0
"757","BLR",2007,0
"758","BLR",2008,0
"759","BLR",2009,0
"760","BLR",2010,0
"761","BLR",2011,0
"762","BLR",2012,0
"763","BLZ",1975,NA
"764","BLZ",1976,NA
"765","BLZ",1977,NA
"766","BLZ",1978,NA
"767","BLZ",1979,NA
"768","BLZ",1980,NA
"769","BLZ",1981,NA
"770","BLZ",1982,1
"771","BLZ",1983,1
"772","BLZ",1984,1
"773","BLZ",1985,1
"774","BLZ",1986,1
"775","BLZ",1987,1
"776","BLZ",1988,1
"777","BLZ",1989,1
"778","BLZ",1990,1
"779","BLZ",1991,1
"780","BLZ",1992,1
"781","BLZ",1993,1
"782","BLZ",1994,1
"783","BLZ",1995,1
"784","BLZ",1996,1
"785","BLZ",1997,1
"786","BLZ",1998,1
"787","BLZ",1999,1
"788","BLZ",2000,1
"789","BLZ",2001,1
"790","BLZ",2002,1
"791","BLZ",2003,1
"792","BLZ",2004,1
"793","BLZ",2005,1
"794","BLZ",2006,1
"795","BLZ",2007,1
"796","BLZ",2008,1
"797","BLZ",2009,1
"798","BLZ",2010,1
"799","BLZ",2011,1
"800","BLZ",2012,1
"801","BOL",1975,1
"802","BOL",1976,1
"803","BOL",1977,1
"804","BOL",1978,1
"805","BOL",1979,3
"806","BOL",1980,0
"807","BOL",1981,0
"808","BOL",1982,0
"809","BOL",1983,3
"810","BOL",1984,3
"811","BOL",1985,3
"812","BOL",1986,1
"813","BOL",1987,1
"814","BOL",1988,1
"815","BOL",1989,1
"816","BOL",1990,3
"817","BOL",1991,3
"818","BOL",1992,3
"819","BOL",1993,3
"820","BOL",1994,2
"821","BOL",1995,2
"822","BOL",1996,2
"823","BOL",1997,2
"824","BOL",1998,1
"825","BOL",1999,1
"826","BOL",2000,1
"827","BOL",2001,1
"828","BOL",2002,1
"829","BOL",2003,2
"830","BOL",2004,2
