"","location","time","gini_net","gini_market","rel_red","abs_red"
"2321","MYS",1974,43.7052702331543,47.4353337860107,0.0786347065603761,3.73006355285645
"2322","MYS",1975,43.8543618011475,47.3931146240234,0.074668078917147,3.53875282287598
"2323","MYS",1976,44.6398366546631,47.9178075408936,0.0684081984225388,3.27797088623047
"2324","MYS",1977,45.3052844619751,48.6776511001587,0.0692795679734965,3.37236663818359
"2325","MYS",1978,45.7115288162231,49.1483884429932,0.0699282262480775,3.43685962677002
"2326","MYS",1979,47.200934715271,51.4283120727539,0.0821994187073956,4.22737735748291
"2327","MYS",1982,45.5979989624023,49.2332280731201,0.0738369035099387,3.63522911071777
"2328","MYS",1983,45.3054503250122,48.7527378082275,0.0707096183351894,3.44728748321533
"2329","MYS",1984,45.890461730957,49.395285987854,0.0709546303215815,3.50482425689697
"2330","MYS",1985,43.9044345092773,47.8888716506958,0.083201733598594,3.98443714141845
"2331","MYS",1986,42.8601594543457,47.2770607757568,0.0934258866548673,4.41690132141113
"2332","MYS",1987,42.0608899307251,46.3796485137939,0.0931175358473101,4.31875858306885
"2333","MYS",1988,41.9873332595825,46.2054203033447,0.0912898749988616,4.2180870437622
"2334","MYS",1989,42.7081433105469,45.9035472488403,0.0696112638304698,3.19540393829346
"2335","MYS",1990,42.9593098449707,46.5405062866211,0.0769479476565099,3.58119644165039
"2336","MYS",1991,43.2456830215454,46.5534015655518,0.0710521343826779,3.30771854400635
"2337","MYS",1992,43.2945964050293,46.6082618713379,0.071096096126819,3.31366546630859
"2338","MYS",1993,43.3131765365601,46.5243112564087,0.0690205751171933,3.21113471984864
"2339","MYS",1994,43.3174709701538,46.7557228088379,0.0735364920512826,3.43825183868408
"2340","MYS",1995,43.5302585601807,46.7387071228027,0.0686464979485225,3.20844856262207
"2341","MYS",1996,43.4413196563721,47.1815450286865,0.0792730583544981,3.74022537231445
"2342","MYS",1997,43.5570838165283,47.0845401763916,0.0749175068217394,3.52745635986328
"2343","MYS",1998,44.0339961624146,47.2659740447998,0.0683785312309846,3.23197788238525
"2344","MYS",1999,44.5109089279175,47.4474078369141,0.0618895539897541,2.93649890899658
"2345","MYS",2000,46.4047103500366,48.9713417816162,0.0524108864124098,2.56663143157959
"2346","MYS",2001,44.0331386566162,47.6703155136108,0.0762985689900907,3.63717685699463
"2347","MYS",2002,43.745803527832,47.848443107605,0.0857423839381073,4.10263957977295
"2348","MYS",2003,40.9466770553589,46.0944120407105,0.111678070235609,5.14773498535156
"2349","MYS",2004,38.3911197280884,45.4644995117187,0.155580284828763,7.07337978363037
"2350","MYS",2005,38.6813872146606,43.4627509689331,0.110010610181812,4.78136375427246
"2351","MYS",2006,39.8657669830322,44.1700631713867,0.0974482687890473,4.30429618835449
"2352","MYS",2007,41.5815295791626,43.9467295455933,0.0538197037842566,2.36519996643067
"2353","MYS",2008,41.9118013763428,44.3346071624756,0.0546481843687893,2.42280578613281
"2354","MYS",2009,42.2420734024048,44.7224851226807,0.0554622962805338,2.48041172027588
"2355","MYS",2010,41.4295163726807,44.60708152771,0.0712345449691746,3.17756515502929
"2356","MYS",2011,40.7355978775024,44.3245523452759,0.080969897672434,3.58895446777343
"2357","MYS",2012,40.0416792297363,44.042022895813,0.0908301527279976,4.00034366607666
"2358","MDV",1998,64.2058428573608,67.6596060180664,0.051046161276543,3.45376316070558
"2359","MDV",1999,59.4660580062866,62.5709624862671,0.0496221307233675,3.10490447998047
"2360","MDV",2000,54.7262733459473,57.4823191833496,0.0479459749807845,2.75604583740235
"2361","MDV",2001,49.9864883041382,52.3936757659912,0.0459442370984693,2.40718746185303
"2362","MDV",2002,45.2467035675049,47.3050325393677,0.0435118392562109,2.05832897186279
"2363","MDV",2003,40.5069187927246,42.2163889312744,0.0404930450430688,1.7094701385498
"2364","MDV",2004,39.2584326934814,41.2170369338989,0.0475192878022395,1.95860424041748
"2365","MDV",2005,39.0584278488159,41.0131211853027,0.0476601945912689,1.95469333648682
"2366","MDV",2006,38.8584232711792,40.8092055130005,0.0478025047853439,1.95078224182129
"2367","MDV",2007,38.6584185409546,40.6052898406982,0.0479462480721495,1.94687129974365
"2368","MDV",2008,38.458413772583,40.4013740539551,0.0480914406222248,1.94296028137207
"2369","MDV",2009,38.2584090423584,40.1974584579468,0.0482381098202252,1.93904941558838
"2370","MDV",2010,38.0584043693542,39.9935426330566,0.0483862677897132,1.93513826370239
"2371","MLI",1989,36.9309888839722,38.6957433891296,0.0456059077974251,1.76475450515747
"2372","MLI",1990,38.4570592689514,40.5183627700806,0.05087331669411,2.06130350112915
"2373","MLI",1991,39.9831295776367,42.3409823226929,0.0556872470998967,2.35785274505616
"2374","MLI",1992,41.5092000961304,44.1636015319824,0.0601038263133903,2.65440143585205
