"","location","TIME","gdpv_annpct_quarterly"
"166","AUS",1979.25,-1.623105
"167","AUS",1979.5,0.952697
"168","AUS",1979.75,1.915037
"169","AUS",1980,0.399985
"170","AUS",1980.25,0.288944
"171","AUS",1980.5,0.573312
"172","AUS",1980.75,1.711578
"173","AUS",1981,0.385488
"174","AUS",1981.25,1.504148
"175","AUS",1981.5,2.059107
"176","AUS",1981.75,-0.428134
"177","AUS",1982,-0.832475
"178","AUS",1982.25,0.962058
"179","AUS",1982.5,-0.705921
"180","AUS",1982.75,-1.564897
"181","AUS",1983,-0.998084
"182","AUS",1983.25,-0.243174
"183","AUS",1983.5,3.068767
"184","AUS",1983.75,1.443879
"185","AUS",1984,2.574769
"186","AUS",1984.25,0.884645
"187","AUS",1984.5,1.080509
"188","AUS",1984.75,0.731051
"189","AUS",1985,1.301181
"190","AUS",1985.25,2.28364
"191","AUS",1985.5,1.493625
"192","AUS",1985.75,-0.320216
"193","AUS",1986,0.615411
"194","AUS",1986.25,-0.1523
"195","AUS",1986.5,0.275048
"196","AUS",1986.75,1.695857
"197","AUS",1987,0.958737
"198","AUS",1987.25,1.632702
"199","AUS",1987.5,1.806111
"200","AUS",1987.75,1.930486
"201","AUS",1988,0.383073
"202","AUS",1988.25,0.35351
"203","AUS",1988.5,0.772294
"204","AUS",1988.75,1.359913
"205","AUS",1989,1.151959
"206","AUS",1989.25,2.05273
"207","AUS",1989.5,0.88701
"208","AUS",1989.75,-0.406438
"209","AUS",1990,0.895486
"210","AUS",1990.25,0.093784
"211","AUS",1990.5,-0.478424
"212","AUS",1990.75,0.566455
"213","AUS",1991,-1.38907
"214","AUS",1991.25,-0.162821
"215","AUS",1991.5,0.339453
"216","AUS",1991.75,0.167829
"217","AUS",1992,0.858351
"218","AUS",1992.25,0.747285
"219","AUS",1992.5,0.912874
"220","AUS",1992.75,1.969021
"221","AUS",1993,0.903829
"222","AUS",1993.25,0.503474
"223","AUS",1993.5,0.110658
"224","AUS",1993.75,1.829815
"225","AUS",1994,1.765641
"226","AUS",1994.25,1.170925
"227","AUS",1994.5,0.968356
"228","AUS",1994.75,0.443081
"229","AUS",1995,0.290338
"230","AUS",1995.25,0.71674
"231","AUS",1995.5,1.804366
"232","AUS",1995.75,0.406665
"233","AUS",1996,1.867709
"234","AUS",1996.25,0.238199
"235","AUS",1996.5,1.225032
"236","AUS",1996.75,0.693302
"237","AUS",1997,0.320296
"238","AUS",1997.25,3.104557
"239","AUS",1997.5,0.080891
"240","AUS",1997.75,1.49064
"241","AUS",1998,0.341781
"242","AUS",1998.25,1.455889
"243","AUS",1998.5,1.727538
"244","AUS",1998.75,1.389401
"245","AUS",1999,0.751743
"246","AUS",1999.25,0.5646
"247","AUS",1999.5,1.012523
"248","AUS",1999.75,1.196519
"249","AUS",2000,1.190381
"250","AUS",2000.25,0.647177
"251","AUS",2000.5,0.030334
"252","AUS",2000.75,-0.312987
"253","AUS",2001,1.068472
"254","AUS",2001.25,0.865064
"255","AUS",2001.5,1.039268
"256","AUS",2001.75,1.142338
"257","AUS",2002,0.814723
"258","AUS",2002.25,1.5655
"259","AUS",2002.5,0.360874
"260","AUS",2002.75,0.869648
"261","AUS",2003,0.014607
"262","AUS",2003.25,0.64052
"263","AUS",2003.5,1.568995
"264","AUS",2003.75,1.731516
"265","AUS",2004,0.791501
"266","AUS",2004.25,0.478736
"267","AUS",2004.5,0.857486
"268","AUS",2004.75,0.767697
"269","AUS",2005,0.835922
"270","AUS",2005.25,0.5387
"271","AUS",2005.5,1.154947
"272","AUS",2005.75,0.836995
