"","TIME","location","gini_toth"
"190",1983,"DNK",0.254
"191",1984,"DNK",0.242
"192",1985,"DNK",0.244
"193",1986,"DNK",0.243
"194",1987,"DNK",0.248
"195",1988,"DNK",0.247
"196",1989,"DNK",0.248
"197",1990,"DNK",0.252
"198",1991,"DNK",0.254
"199",1992,"DNK",0.258
"200",1993,"DNK",0.264
"201",1994,"DNK",0.261
"202",1995,"DNK",0.263
"203",1996,"DNK",0.268
"204",1997,"DNK",0.276
"205",1998,"DNK",0.278
"206",1999,"DNK",0.278
"207",2000,"DNK",0.283
"208",2001,"DNK",0.284
"209",2002,"DNK",0.281
"210",2003,"DNK",0.283
"211",2004,"DNK",0.291
"212",2005,"DNK",0.302
"213",2006,"DNK",0.309
"214",2007,"DNK",0.295
"215",2008,"DNK",0.286
"216",2009,"DNK",0.283
"217",2010,"DNK",0.299
"218",1980,"EST",NA
"219",1981,"EST",0.228
"220",1982,"EST",0.229
"221",1983,"EST",0.23
"222",1984,"EST",0.23
"223",1985,"EST",0.231
"224",1986,"EST",0.232
"225",1987,"EST",0.228
"226",1988,"EST",0.225
"227",1989,"EST",0.223
"228",1990,"EST",0.233
"229",1991,"EST",0.297
"230",1992,"EST",0.361
"231",1993,"EST",0.376
"232",1994,"EST",0.373
"233",1995,"EST",0.369
"234",1996,"EST",0.359
"235",1997,"EST",0.355
"236",1998,"EST",0.353
"237",1999,"EST",0.356
"238",2000,"EST",0.361
"239",2001,"EST",0.354
"240",2002,"EST",0.351
"241",2003,"EST",0.35
"242",2004,"EST",0.347
"243",2005,"EST",0.339
"244",2006,"EST",0.328
"245",2007,"EST",0.321
"246",2008,"EST",0.313
"247",2009,"EST",0.311
"248",2010,"EST",0.308
"249",1980,"FIN",NA
"250",1981,"FIN",0.205
"251",1982,"FIN",NA
"252",1983,"FIN",NA
"253",1984,"FIN",NA
"254",1985,"FIN",NA
"255",1986,"FIN",NA
"256",1987,"FIN",0.197
"257",1988,"FIN",0.202
"258",1989,"FIN",0.205
"259",1990,"FIN",0.202
"260",1991,"FIN",0.201
"261",1992,"FIN",0.199
"262",1993,"FIN",0.211
"263",1994,"FIN",0.211
"264",1995,"FIN",0.217
"265",1996,"FIN",0.223
"266",1997,"FIN",0.237
"267",1998,"FIN",0.248
"268",1999,"FIN",0.259
"269",2000,"FIN",0.267
"270",2001,"FIN",0.258
"271",2002,"FIN",0.256
"272",2003,"FIN",0.26
"273",2004,"FIN",0.266
"274",2005,"FIN",0.267
"275",2006,"FIN",0.273
"276",2007,"FIN",0.28
"277",2008,"FIN",0.268
"278",2009,"FIN",0.259
"279",2010,"FIN",0.266
"280",1980,"FRA",NA
"281",1981,"FRA",NA
"282",1982,"FRA",NA
"283",1983,"FRA",NA
"284",1984,"FRA",0.29
"285",1985,"FRA",NA
"286",1986,"FRA",NA
"287",1987,"FRA",NA
"288",1988,"FRA",NA
"289",1989,"FRA",0.28
"290",1990,"FRA",NA
"291",1991,"FRA",NA
"292",1992,"FRA",NA
"293",1993,"FRA",NA
"294",1994,"FRA",NA
"295",1995,"FRA",NA
"296",1996,"FRA",0.279
"297",1997,"FRA",0.279
"298",1998,"FRA",0.276
"299",1999,"FRA",0.284
"300",2000,"FRA",0.286
"301",2001,"FRA",0.286
"302",2002,"FRA",0.281
"303",2003,"FRA",0.28
"304",2004,"FRA",0.281
"305",2005,"FRA",0.286
"306",2006,"FRA",0.291
"307",2007,"FRA",0.289
"308",2008,"FRA",0.289
"309",2009,"FRA",0.29
"310",2010,"FRA",0.299
"311",1980,"DEU-E",NA
"312",1981,"DEU-E",NA
"313",1982,"DEU-E",NA
"314",1983,"DEU-E",NA
"315",1984,"DEU-E",NA
