"","TIME","location","gini_toth"
"947",1996,"USA",NA
"948",1997,"USA",NA
"949",1998,"USA",NA
"950",1999,"USA",NA
"951",2000,"USA",0.369
"952",2001,"USA",NA
"953",2002,"USA",NA
"954",2003,"USA",0.374
"955",2004,"USA",NA
"956",2005,"USA",NA
"957",2006,"USA",0.378
"958",2007,"USA",0.373
"959",2008,"USA",0.373
"960",2009,"USA",0.375
"961",2010,"USA",NA
